40,22,1,

2,2,
2,18,
37,2,
37,18,

55,55,55,55,55,55,55,55,55,55,55,55,55,31,22,22,22,22,22,22,22,22,22,22,22,22,25,55,55,55,55,55,55,55,55,55,55,55,55,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,44,22,22,22,22,22,22,22,22,22,22,44,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,44,22,22,22,22,22,22,44,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,44,22,22,44,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
14,12,12,15,-1,-1,-1,55,55,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,55,55,-1,-1,-1,-1,11,12,12,13,
22,22,22,25,-1,-1,-1,55,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,34,34,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,34,22,22,34,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,34,22,22,34,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,34,34,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,-1,-1,-1,-1,31,22,22,22,
22,22,22,25,-1,-1,-1,55,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,55,-1,-1,-1,-1,31,22,22,22,
43,44,44,45,-1,-1,-1,55,55,55,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,55,55,55,55,-1,-1,-1,-1,41,42,42,43,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,14,22,22,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,14,22,22,22,22,22,22,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,14,22,22,22,22,22,22,22,22,22,22,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,
55,55,55,55,55,55,55,55,55,55,55,55,55,31,22,22,22,22,22,22,22,22,22,22,22,22,25,55,55,55,55,55,55,55,55,55,55,55,55,55,

